Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6.3V 1000uF","C_Radial_D6.3mm_H11.0mm_P2.50mm",164.395298,-95.911609,180.000000,bottom
"D1","1N4148","Diode_DO-35",157.145298,-126.217732,-90.000000,bottom
"D2","1N4148","Diode_DO-35",158.645298,-185.009825,90.000000,bottom
"KC1","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",44.316100,-207.921200,-179.500000,bottom
"KC2","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",38.721300,-169.868600,-179.500000,bottom
"KC3","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",43.651200,-131.724100,-179.500000,bottom
"KC4","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",63.365400,-207.755000,-179.500000,bottom
"KC5","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",63.032900,-169.656400,-179.500000,bottom
"KC6","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",62.700400,-131.557900,-179.500000,bottom
"KC7","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",82.252400,-205.632400,179.500000,bottom
"KC8","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",82.584800,-167.533900,179.500000,bottom
"KC9","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",82.917300,-129.435300,179.500000,bottom
"KC10","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",101.164800,-204.839800,178.500000,bottom
"KC11","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",102.162100,-166.752900,178.500000,bottom
"KC12","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",103.159400,-128.665900,178.500000,bottom
"KC13","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",121.697700,-168.312900,177.500000,bottom
"KC14","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",123.359600,-130.249200,177.500000,bottom
"KC15","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",137.521800,-207.394700,177.250000,bottom
"KC16","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",140.848000,-169.410500,177.250000,bottom
"KC17","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",142.676000,-131.354400,177.250000,bottom
"KC18","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",193.763100,-207.146100,-177.250000,bottom
"KC19","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",190.436800,-169.162000,-177.250000,bottom
"KC20","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",188.608900,-131.105800,-177.250000,bottom
"KC21","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",209.452900,-167.998300,-177.250000,bottom
"KC22","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",207.624900,-129.942200,-177.250000,bottom
"KC23","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",230.117900,-204.190900,-178.250000,bottom
"KC24","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",228.954400,-166.108600,-178.250000,bottom
"KC25","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",227.790900,-128.026400,-178.250000,bottom
"KC26","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",249.045700,-204.655400,-179.250000,bottom
"KC27","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",248.547000,-166.558700,-179.250000,bottom
"KC28","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",248.048300,-128.461900,-179.250000,bottom
"KC29","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",267.975600,-206.450100,179.750000,bottom
"KC30","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",268.141800,-168.350500,179.750000,bottom
"KC31","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",268.308100,-130.250900,179.750000,bottom
"KC32","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",287.025400,-206.533300,179.750000,bottom
"KC33","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",287.191600,-168.433600,179.750000,bottom
"KC34","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",287.357900,-130.334000,179.750000,bottom
"KC35","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",311.603900,-168.540200,179.750000,bottom
"KC36","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",306.407700,-130.417100,179.750000,bottom
"KC37","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",330.820000,-130.523600,179.750000,bottom
"KC38","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",344.943700,-211.987100,-132.250000,bottom
"KC39","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",357.752300,-197.885900,-132.250000,bottom
"KC40","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",373.763000,-180.259500,-132.250000,bottom
"KC41","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",386.571600,-166.158300,-132.250000,bottom
"KC42","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",373.082100,-130.708000,179.750000,bottom
"KC43","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",392.131900,-130.791200,179.750000,bottom
"KC44","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",33.887800,-188.961500,0.500000,bottom
"KC45","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",33.555300,-150.862900,0.500000,bottom
"KC46","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",38.485100,-112.718500,0.500000,bottom
"KC47","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",58.199300,-188.749300,0.500000,bottom
"KC48","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",57.866900,-150.650800,0.500000,bottom
"KC49","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",77.418800,-186.539500,-0.500000,bottom
"KC50","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",77.751300,-148.441000,-0.500000,bottom
"KC51","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",78.083700,-110.342400,-0.500000,bottom
"KC52","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",96.665100,-185.665400,-1.500000,bottom
"KC53","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",97.662500,-147.578500,-1.500000,bottom
"KC54","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",98.659800,-109.491500,-1.500000,bottom
"KC55","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",115.871500,-187.126700,-2.500000,bottom
"KC56","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",117.533400,-149.063000,-2.500000,bottom
"KC57","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",119.195300,-110.999200,-2.500000,bottom
"KC58","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",134.939800,-188.198700,-2.750000,bottom
"KC59","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",136.767800,-150.142500,-2.750000,bottom
"KC60","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",138.595700,-112.086400,-2.750000,bottom
"KC61","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",186.356600,-188.429900,2.750000,bottom
"KC62","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",184.528600,-150.373800,2.750000,bottom
"KC63","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",182.700600,-112.317700,2.750000,bottom
"KC64","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",205.372600,-187.266200,2.750000,bottom
"KC65","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",203.544700,-149.210100,2.750000,bottom
"KC66","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",201.716700,-111.154000,2.750000,bottom
"KC67","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",224.538500,-185.302400,1.750000,bottom
"KC68","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",223.375000,-147.220200,1.750000,bottom
"KC69","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",222.211400,-109.138000,1.750000,bottom
"KC70","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",243.796800,-185.672500,0.750000,bottom
"KC71","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",243.298000,-147.575800,0.750000,bottom
"KC72","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",242.799300,-109.479000,0.750000,bottom
"KC73","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",263.058700,-187.378500,-0.250000,bottom
"KC74","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",263.225000,-149.278900,-0.250000,bottom
"KC75","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",287.471000,-187.485000,-0.250000,bottom
"KC76","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",282.274800,-149.362000,-0.250000,bottom
"KC77","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",282.441000,-111.262400,-0.250000,bottom
"KC78","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",301.324600,-149.445100,-0.250000,bottom
"KC79","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",301.490900,-111.345500,-0.250000,bottom
"KC80","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",320.374400,-149.528200,-0.250000,bottom
"KC81","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",320.540700,-111.428600,-0.250000,bottom
"KC82","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",339.590500,-111.511700,-0.250000,bottom
"KC83","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",327.480700,-202.879600,47.750000,bottom
"KC84","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",340.289300,-188.778400,47.750000,bottom
"KC85","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",356.300000,-171.152000,47.750000,bottom
"KC86","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",369.108600,-157.050800,47.750000,bottom
"KC87","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",368.165200,-111.636400,-0.250000,bottom
"KC88","104","C_Disc_D4.7mm_W2.5mm_P5.00mm",387.215000,-111.719500,-0.250000,bottom
"KD1","1N4148","Diode_DO-35",50.198400,-191.544200,-89.500000,bottom
"KD2","1N4148","Diode_DO-35",44.603600,-153.491600,-89.500000,bottom
