Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Radial_D6.3mm_H11.0mm_P2.50mm,1,6.3V 1000uF,
"C2, C3, KC1, KC10, KC11, KC12, KC13, KC14, KC15, KC16, KC17, KC18, KC19, KC2, KC20, KC21, KC22, KC23, KC24, KC25, KC26, KC27, KC28, KC29, KC3, KC30, KC31, KC32, KC33, KC34, KC35, KC36, KC37, KC38, KC39, KC4, KC40, KC41, KC42, KC43, KC44, KC45, KC46, KC47, KC48, KC49, KC5, KC50, KC51, KC52, KC53, KC54, KC55, KC56, KC57, KC58, KC59, KC6, KC60, KC61, KC62, KC63, KC64, KC65, KC66, KC67, KC68, KC69, KC7, KC70, KC71, KC72, KC73, KC74, KC75, KC76, KC77, KC78, KC79, KC8, KC80, KC81, KC82, KC83, KC84, KC85, KC86, KC87, KC88, KC9",C_Disc_D4.7mm_W2.5mm_P5.00mm,90,104,
"D1, D2, KD1, KD10, KD11, KD12, KD13, KD14, KD15, KD16, KD17, KD18, KD19, KD2, KD20, KD21, KD22, KD23, KD24, KD25, KD26, KD27, KD28, KD29, KD3, KD30, KD31, KD32, KD33, KD34, KD35, KD36, KD37, KD38, KD39, KD4, KD40, KD41, KD42, KD43, KD44, KD45, KD46, KD47, KD48, KD49, KD5, KD50, KD51, KD52, KD53, KD54, KD55, KD56, KD57, KD58, KD59, KD6, KD60, KD61, KD62, KD63, KD64, KD65, KD66, KD67, KD68, KD69, KD7, KD70, KD71, KD72, KD73, KD74, KD75, KD76, KD77, KD78, KD79, KD8, KD80, KD81, KD82, KD83, KD84, KD85, KD86, KD87, KD88, KD9",Diode_DO-35,90,1N4148,
"DIP1, DIP2",DIP-16_W7.62mm_Socket,2,SN74HC138N,
"HOLE1, HOLE2, HOLE3, HOLE4, HOLE5, HOLE6, HOLE7, HOLE8, HOLE9",MountingHole_2.2mm_M2_Pad_Via,9,,
"KLED1, KLED10, KLED11, KLED12, KLED13, KLED14, KLED15, KLED16, KLED17, KLED18, KLED19, KLED2, KLED20, KLED21, KLED22, KLED23, KLED24, KLED25, KLED26, KLED27, KLED28, KLED29, KLED3, KLED30, KLED31, KLED32, KLED33, KLED34, KLED35, KLED36, KLED37, KLED38, KLED39, KLED4, KLED40, KLED41, KLED42, KLED43, KLED44, KLED45, KLED46, KLED47, KLED48, KLED49, KLED5, KLED50, KLED51, KLED52, KLED53, KLED54, KLED55, KLED56, KLED57, KLED58, KLED59, KLED6, KLED60, KLED61, KLED62, KLED63, KLED64, KLED65, KLED66, KLED67, KLED68, KLED69, KLED7, KLED70, KLED71, KLED72, KLED73, KLED74, KLED75, KLED76, KLED77, KLED78, KLED79, KLED8, KLED80, KLED81, KLED82, KLED83, KLED84, KLED85, KLED86, KLED87, KLED88, KLED9",led_SK6812mini-e,88,SK6812mini-e,
"KSW1, KSW10, KSW11, KSW12, KSW13, KSW14, KSW15, KSW16, KSW17, KSW18, KSW19, KSW2, KSW20, KSW21, KSW22, KSW23, KSW24, KSW25, KSW26, KSW27, KSW28, KSW29, KSW3, KSW30, KSW31, KSW32, KSW33, KSW34, KSW35, KSW36, KSW37, KSW38, KSW39, KSW4, KSW40, KSW41, KSW42, KSW43, KSW44, KSW45, KSW46, KSW47, KSW48, KSW49, KSW5, KSW50, KSW51, KSW52, KSW53, KSW54, KSW55, KSW56, KSW57, KSW58, KSW59, KSW6, KSW60, KSW61, KSW62, KSW63, KSW64, KSW65, KSW66, KSW67, KSW68, KSW69, KSW7, KSW70, KSW71, KSW72, KSW73, KSW74, KSW75, KSW76, KSW77, KSW78, KSW79, KSW8, KSW80, KSW81, KSW82, KSW83, KSW84, KSW85, KSW86, KSW87, KSW88, KSW9",MX,88,Kailh MX Switch Sockets,
MCU1,Arduino_Pro_Micro,1,Arduino Pro Micro,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,470R,
ROT1,ec11,1,EC11,
SCR1,evqwgd001,1,EVQWGD001,
SW1,SW_PUSH_6mm_H4.3mm,1,6mm button,
