Designator,Mid X,Mid Y,Rotation,Layer
C1,163.145298,-95.911609,0.0,bottom
C2,60.784332,-89.060748,180.0,top
C3,265.022025,-87.890311,180.25,top
D1,157.145298,-130.027732,270.0,bottom
D2,158.645298,-181.199825,90.0,bottom
DIP1,60.774332,-101.460748,0.0,top
DIP2,265.06613,-100.290236,0.25,top
HOLE1,33.269842,-90.938132,0.5,top
HOLE2,153.262448,-123.553312,357.25,top
HOLE3,173.028147,-123.544674,2.75,top
HOLE4,150.520498,-180.637497,357.25,top
HOLE5,175.770097,-180.628859,2.75,top
HOLE6,397.335175,-89.938475,359.75,top
HOLE7,391.74019,-145.383576,23.75,top
HOLE8,314.676451,-211.958042,23.75,top
HOLE9,29.219261,-199.752623,0.5,top
KC1,41.816195,-207.943016,359.5,bottom
KC10,98.665657,-204.774357,1.5,bottom
KC11,99.662957,-166.687457,1.5,bottom
KC12,100.660257,-128.600457,1.5,bottom
KC13,119.200079,-168.203851,2.5,bottom
KC14,120.861979,-130.140151,2.5,bottom
KC15,135.024679,-207.274755,2.75,bottom
KC16,138.350879,-169.290555,2.75,bottom
KC17,140.178879,-131.234455,2.75,bottom
KC18,191.265979,-207.266045,357.25,bottom
KC19,187.939679,-169.281945,357.25,bottom
KC2,36.221395,-169.890416,359.5,bottom
KC20,186.111779,-131.225745,357.25,bottom
KC21,206.955779,-168.118245,357.25,bottom
KC22,205.127779,-130.062145,357.25,bottom
KC23,227.619066,-204.267246,358.25,bottom
KC24,226.455566,-166.184946,358.25,bottom
KC25,225.292066,-128.102746,358.25,bottom
KC26,246.545914,-204.688124,359.25,bottom
KC27,246.047214,-166.591424,359.25,bottom
KC28,245.548514,-128.494624,359.25,bottom
KC29,265.475624,-206.439191,0.25,bottom
KC3,41.151295,-131.745916,359.5,bottom
KC30,265.641824,-168.339591,0.25,bottom
KC31,265.808124,-130.239991,0.25,bottom
KC32,284.525424,-206.522391,0.25,bottom
KC33,284.691624,-168.422691,0.25,bottom
KC34,284.857924,-130.323091,0.25,bottom
KC35,309.103924,-168.529291,0.25,bottom
KC36,303.907724,-130.406191,0.25,bottom
KC37,328.320024,-130.512691,0.25,bottom
KC38,343.262783,-213.837645,312.25,bottom
KC39,356.071383,-199.736445,312.25,bottom
KC4,60.865495,-207.776816,359.5,bottom
KC40,372.082083,-182.110045,312.25,bottom
KC41,384.890683,-168.008845,312.25,bottom
KC42,370.582124,-130.697091,0.25,bottom
